01F4,ZC_REQ_EXCHANGE_ITEM2
01F5,ZC_ACK_EXCHANGE_ITEM2
01F6,ZC_REQ_BABY
01F7,CZ_JOIN_BABY
01F8,ZC_START_BABY
01F9,CZ_REQ_JOIN_BABY
01FA,CA_LOGIN3
01FB,CH_DELETE_CHAR2
01FC,ZC_REPAIRITEMLIST
01FD,CZ_REQ_ITEMREPAIR
01FE,ZC_ACK_ITEMREPAIR
01FF,ZC_HIGHJUMP
0200,CA_CONNECT_INFO_CHANGED
0201,ZC_FRIENDS_LIST
0202,CZ_ADD_FRIENDS
0203,CZ_DELETE_FRIENDS
0204,CA_EXE_HASHCHECK
0205,ZC_DIVORCE
0206,ZC_FRIENDS_STATE
0207,ZC_REQ_ADD_FRIENDS
0208,CZ_ACK_REQ_ADD_FRIENDS
0209,ZC_ADD_FRIENDS_LIST
020A,ZC_DELETE_FRIENDS
020B,CH_EXE_HASHCHECK
020C,CZ_EXE_HASHCHECK
020D,HC_BLOCK_CHARACTER
020E,ZC_STARSKILL
020F,CZ_REQ_PVPPOINT
0210,ZC_ACK_PVPPOINT
0211,ZH_MOVE_PVPWORLD
0212,CZ_REQ_GIVE_MANNER_BYNAME
0213,CZ_REQ_STATUS_GM
0214,ZC_ACK_STATUS_GM
0215,ZC_SKILLMSG
0216,ZC_BABYMSG
0217,CZ_BLACKSMITH_RANK
0218,CZ_ALCHEMIST_RANK
0219,ZC_BLACKSMITH_RANK
021A,ZC_ALCHEMIST_RANK
021B,ZC_BLACKSMITH_POINT
021C,ZC_ALCHEMIST_POINT
021D,CZ_LESSEFFECT
021E,ZC_LESSEFFECT
021F,ZC_NOTIFY_PKINFO
0220,ZC_NOTIFY_CRAZYKILLER
0221,ZC_NOTIFY_WEAPONITEMLIST
0222,CZ_REQ_WEAPONREFINE
0223,ZC_ACK_WEAPONREFINE
0224,ZC_TAEKWON_POINT
0225,CZ_TAEKWON_RANK
0226,ZC_TAEKWON_RANK
0227,ZC_GAME_GUARD
0228,CZ_ACK_GAME_GUARD
0229,ZC_STATE_CHANGE3
022A,ZC_NOTIFY_STANDENTRY3
022B,ZC_NOTIFY_NEWENTRY3
022C,ZC_NOTIFY_MOVEENTRY3
022D,CZ_COMMAND_MER
022E,ZC_PROPERTY_HOMUN
0230,ZC_CHANGESTATE_MER
0231,CZ_RENAME_MER
0232,CZ_REQUEST_MOVENPC
0233,CZ_REQUEST_ACTNPC
0234,CZ_REQUEST_MOVETOOWNER
023A,ZC_REQ_STORE_PASSWORD
023B,CZ_ACK_STORE_PASSWORD
023C,ZC_RESULT_STORE_PASSWORD
023D,AC_EVENT_RESULT
023E,HC_REQUEST_CHARACTER_PASSWORD
023F,CZ_MAIL_GET_LIST
0240,ZC_MAIL_REQ_GET_LIST
0241,CZ_MAIL_OPEN
0242,ZC_MAIL_REQ_OPEN
0243,CZ_MAIL_DELETE
0244,CZ_MAIL_GET_ITEM
0245,ZC_MAIL_REQ_GET_ITEM
0246,CZ_MAIL_RESET_ITEM
0247,CZ_MAIL_ADD_ITEM
0248,CZ_MAIL_SEND
0249,ZC_MAIL_REQ_SEND
024A,ZC_MAIL_RECEIVE
024B,CZ_AUCTION_CREATE
024C,CZ_AUCTION_ADD_ITEM
024D,CZ_AUCTION_ADD
024E,CZ_AUCTION_ADD_CANCEL
024F,CZ_AUCTION_BUY
0250,ZC_AUCTION_RESULT
0251,CZ_AUCTION_ITEM_SEARCH
0252,ZC_AUCTION_ITEM_REQ_SEARCH
0253,ZC_STARPLACE
0254,CZ_AGREE_STARPLACE
0255,ZC_ACK_MAIL_ADD_ITEM
0256,ZC_ACK_AUCTION_ADD_ITEM
0257,ZC_ACK_MAIL_DELETE
0258,CA_REQ_GAME_GUARD_CHECK
0259,AC_ACK_GAME_GUARD
025A,ZC_MAKINGITEM_LIST
025B,CZ_REQ_MAKINGITEM
025C,CZ_AUCTION_REQ_MY_INFO
025D,CZ_AUCTION_REQ_MY_SELL_STOP
025E,ZC_AUCTION_ACK_MY_SELL_STOP
025F,ZC_AUCTION_WINDOWS
0260,ZC_MAIL_WINDOWS
0261,AC_REQ_LOGIN_OLDEKEY
0262,AC_REQ_LOGIN_NEWEKEY
0263,AC_REQ_LOGIN_CARDPASS
0264,CA_ACK_LOGIN_OLDEKEY
0265,CA_ACK_LOGIN_NEWEKEY
0266,CA_ACK_LOGIN_CARDPASS
0267,AC_ACK_EKEY_FAIL_NOTEXIST
